愛,アイ
相生,アイオイ
愛嬌,アイキョウ
愛顧,アイコ
挨拶,アイサツ
愛想,アイソ
あいつ,アイツ
会津,アイヅ
相手,アイテ
合間,アイマ
青嶋,アオシマ
青空,アオゾラ
仰向け,アオムケ
赤,アカ
赤地,アカジ
灯,アカリ
上がり,アガリ
明き,アキ
秋,アキ
悪,アク
悪事,アクジ
悪僧,アクソウ
悪太郎,アクタロウ
悪人,アクニン
悪風,アクフウ
あくる日,アクルヒ
あぐら,アグラ
あけ,アケ
揚足,アゲアシ
朝,アサ
麻,アサ
浅井,アサイ
朝顔,アサガオ
あさって,アサッテ
朝飯,アサメシ
朝夕,アサユウ
あし,アシ
足,アシ
足音,アシオト
あした,アシタ
明日,アシタ
足拍子,アシビョウシ
足踏み,アシブミ
足元,アシモト
味,アジ
あす,アス
あすこ,アスコ
汗,アセ
あそこ,アソコ
遊び,アソビ
あたし,アタシ
頭,アタマ
辺,アタリ
辺り,アタリ
当り前,アタリマエ
あだな,アダナ
渾名,アダナ
あちら,アチラ
悪漢,アッカン
あっけ,アッケ
あっち,アッチ
厚,アツ
誂,アツラエ
あて,アテ
宛,アテ
あと,アト
穴,アナ
あなた,アナタ
兄,アニ
油,アブラ
膏,アブラ
油絵,アブラエ
あべこべ,アベコベ
甘茶,アマチャ
雨戸,アマド
天の川,アマノガワ
あまり,アマリ
飴,アメ
歩,アユミ
洗い,アライ
荒肝,アラギモ
有様,アリサマ
あれ,アレ
合せ,アワセ
袷,アワセ
憐れ,アワレ
案,アン
安閑,アンカン
安心,アンシン
あんた,アンタ
案内,アンナイ
い,イ
意,イ
胃,イ
居合,イアイ
いい加減,イイカゲン
好い加減,イイカゲン
飯前,イイサキ
許嫁,イイナズケ
言訳,イイワケ
家,イエ
いか,イカ
イカ,イカ
いかが,イカガ
威嚇,イカク
いかさま,イカサマ
怒り,イカリ
錨,イカリ
いかん,イカン
以外,イガイ
毬栗,イガグリ
息,イキ
行き,イキ
生き物,イキモノ
生霊,イキリョウ
異議,イギ
幾,イク
意気地,イクジ
いくら,イクラ
生垣,イケガキ
活花,イケバナ
意見,イケン
委細,イサイ
勇み肌,イサミハダ
石,イシ
石橋,イシバシ
意趣,イシュ
威信,イシン
意地,イジ
以上,イジョウ
異状,イジョウ
椅子,イス
いずれ,イズレ
威勢,イセイ
異説,イセツ
以前,イゼン
磯,イソ
居候,イソウロウ
急ぎ足,イソギアシ
いた事,イタコト
致し方,イタシカタ
いたずら,イタズラ
悪戯,イタズラ
頂,イタダキ
板の間,イタノマ
至り,イタリ
一,イチ
位置,イチ
壱,イチ
一月,イチガツ
一座,イチザ
一巡,イチジュン
一同,イチドウ
一番,イチバン
一番槍,イチバンヤリ
一部始終,イチブシジュウ
一味徒党,イチミトトウ
一夜作り,イチヤヅクリ
一貫,イッカン
一間,イッケン
一行,イッコウ
一散,イッサン
一室,イッシツ
一週,イッシュウ
いっしょ,イッショ
一所,イッショ
一生,イッショウ
一生懸命,イッショウケンメイ
一身上,イッシンジョウ
一銭,イッセン
一体,イッタイ
一朝一夕,イッチョウイッセキ
一等,イットウ
一般,イッパン
いつ,イツ
いつか,イツカ
五つ,イツツ
糸,イト
井戸,イド
井戸端,イドバタ
否,イナ
以内,イナイ
田舎,イナカ
イナゴ,イナゴ
稲光,イナビカリ
否や,イナヤ
犬,イヌ
稲,イネ
いの一番,イノイチバン
命,イノチ
今,イマ
今一,イマイチ
今頃,イマゴロ
今時分,イマジブン
今時,イマドキ
伊万里,イマリ
意味,イミ
異名,イミョウ
厳,イム
いも,イモ
芋,イモ
いや,イヤ
厭,イヤ
厭味,イヤミ
以来,イライ
依頼,イライ
入,イリ
入り,イリ
入口,イリグチ
威力,イリョク
色,イロ
いろいろ,イロイロ
色鉛筆,イロエンピツ
色男,イロオトコ
色つや,イロツヤ
岩,イワ
員,イン
因,イン
院,イン
隠居,インキョ
慇懃,インギン
咽喉,インコウ
印材,インザイ
飲食,インショク
引率,インソツ
インターネット,インターネット
因縁,インネン
上,ウエ
植,ウエ
植木,ウエキ
植木鉢,ウエキバチ
伺い,ウカガイ
受持,ウケモチ
動き,ウゴキ
うし,ウシ
後ろ,ウシロ
後鉢巻,ウシロハチマキ
薄,ウス
薄っぺら,ウスッペラ
うそ,ウソ
嘘,ウソ
嘘つき,ウソツキ
唄,ウタ
歌,ウタ
謡,ウタイ
うち,ウチ
内,ウチ
内々,ウチウチ
腕,ウデ
腕組,ウデグミ
腕まくり,ウデマクリ
饂飩,ウドン
生まれ,ウマレ
生れ,ウマレ
海,ウミ
膿,ウミ
裏,ウラ
裏表,ウラオモテ
裏手,ウラテ
裏町,ウラマチ
恨み,ウラミ
麗,ウララ
売,ウリ
上前,ウワマエ
云,ウン
運,ウン
雲泥の差,ウンデイノサ
運動,ウンドウ
影響,エイキョウ
英語,エイゴ
叡山,エイザン
栄進,エイシン
衛生,エイセイ
営養,エイヨウ
栄耀,エイヨウ
回向,エコウ
餌,エサ
絵師,エシ
会釈,エシャク
枝,エダ
越後,エチゴ
越中褌,エッチュウフンドシ
江戸,エド
江戸前,エドマエ
胡,エビス
絵筆,エフデ
衛門,エモン
円,エン
縁,エン
縁故,エンコ
遠征,エンセイ
演説,エンゼツ
遠足,エンソク
縁日,エンニチ
鉛筆,エンピツ
遠方,エンポウ
円満,エンマン
遠慮,エンリョ
お,オ
尾,オ
おい,オイ
甥,オイ
おいで,オイデ
お出で,オイデ
横風,オウフウ
往来,オウライ
御会式,オエシキ
大当り,オオアタリ
大分,オオイタ
大方,オオカタ
大騒ぎ,オオサワギ
大空,オオゾラ
大手町,オオテマチ
大通り,オオドオリ
大振り,オオブリ
大町,オオマチ
大森,オオモリ
公,オオヤケ
岡,オカ
お母さん,オカアサン
お蔭,オカゲ
お陰,オカゲ
お蔭様,オカゲサマ
岡っ引き,オカッピキ
お金,オカネ
小川,オガワ
お気,オキ
沖,オキ
起き抜け,オキヌケ
お客,オキャク
奥,オク
奥さま,オクサマ
奥さん,オクサン
臆病,オクビョウ
奥行,オクユキ
小倉,オグラ
お座敷,オザシキ
圧し,オシ
教え,オシエ
おしまい,オシマイ
押問答,オシモンドウ
お爺さん,オジイサン
お辞儀,オジギ
お嬢さん,オジョウサン
お世話,オセワ
お宅,オタク
穏やか,オダヤカ
お談義,オダンギ
落ち,オチ
落度,オチド
お茶,オチャ
おっかさん,オッカサン
乙,オツ
お寺,オテラ
お転婆,オテンバ
音,オト
お父さん,オトウサン
弟,オトウト
男,オトコ
一昨日,オトトイ
驚,オドロキ
お腹,オナカ
鬼瓦,オニガワラ
お話,オハナシ
お話し,オハナシ
お婆さん,オバアサン
帯,オビ
小日向,オビナタ
お袋,オフクロ
覚え,オボエ
お前,オマエ
お松,オマツ
お祭り,オマツリ
思い,オモイ
思い切り,オモイキリ
面白,オモシロ
表向き,オモテムキ
重み,オモミ
趣,オモムキ
お貰い,オモライ
親,オヤ
親方,オヤカタ
親子,オヤコ
おやじ,オヤジ
親父,オヤジ
親不孝,オヤフコウ
親譲り,オヤユズリ
親指,オヤユビ
お湯,オユ
折戸,オリド
おれ,オレ
俺,オレ
折合,オレアイ
お礼,オレイ
愚か,オロカ
終,オワリ
終り,オワリ
恩,オン
音,オン
遠国,オンゴク
温順,オンジュン
温泉,オンセン
女,オンナ
女形,オンナガタ
穏便,オンビン
温良,オンリョウ
下,カ
化,カ
可,カ
家,カ
蚊,カ
過,カ
母さん,カアサン
かい,カイ
会,カイ
甲斐,カイ
界,カイ
階,カイ
開会,カイカイ
会議,カイギ
開業,カイギョウ
会見,カイケン
会社,カイシャ
解釈,カイシャク
会場,カイジョウ
懐中,カイチュウ
廻転,カイテン
海浜,カイヒン
怪物,カイブツ
快楽,カイラク
楓,カエデ
帰り,カエリ
帰りがけ,カエリガケ
蛙,カエル
顔,カオ
顔色,カオイロ
家屋,カオク
顔つき,カオツキ
踵,カカト
鏡,カガミ
垣,カキ
垣根,カキネ
課業,カギョウ
かぎり,カギリ
限り,カギリ
格,カク
角,カク
覚悟,カクゴ
隠し芸,カクシゲイ
格別,カクベツ
角屋,カクヤ
隠れ,カクレ
神楽,カグラ
神楽坂,カグラザカ
掛,カケ
掛声,カケゴエ
掛物,カケモノ
影,カゲ
蔭,カゲ
陰,カゲ
ヶ月,カゲツ
花月,カゲツ
影法師,カゲボウシ
加減,カゲン
囲い,カコイ
傘,カサ
華山,カザン
菓子,カシ
貸し,カシ
かしこ,カシコ
過失,カシツ
カ所,カショ
ヶ所,カショ
箇所,カショ
かしら,カシラ
柏寺,カシワデラ
火事,カジ
鍛冶屋,カジヤ
ヶ条,カジョウ
数,カズ
葛,カズラ
加勢,カセイ
風,カゼ
風邪,カゼ
下層,カソウ
方,カタ
片,カタ
肩,カタ
片仮名,カタカナ
かたがた,カタガタ
方々,カタガタ
かたち,カタチ
刀,カタナ
塊,カタマリ
語,カタリ
価値,カチ
勝,カチ
勝ち,カチ
花鳥,カチョウ
活気,カッキ
活計,カッケイ
恰好,カッコウ
勝手,カッテ
勝手次第,カッテシダイ
活版,カッパン
かっぽ,カッポ
鰹,カツオ
活眼,カツガン
活字,カツジ
